CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,1.1516860861712445E7,1151772.4116964398,281.0,172447.0133599249,135.0,250773.4247344558,89.0,4.0454240963978015E7,3180261.9869315135,5006472.6593878735,140.0,3.5,0.14665765278528936,3102474.0070111477,6426079.277237591,130.0,4.5,3147.4851572278453,3102474.0070111477,9736200.399332916,110.0,5.5,226.8840346133045,2908899.167179461,4556664.848489281,120.0,5.5,0.8548559066676967,3148113.9575480684,4992623.380197437,150.0,2.0,43.02217492080662,3253211.517059483,9736200.399332916,165.0,0.0,0.773947307424863,9.0,5000,16.0,64.0
104.1,10.0,10.41,1.1573468285055768E7,1157346.8285055761,248.0,158279.52163245843,157.0,298859.97751330695,164.0,4.0454240963978015E7,2829746.730793053,5006472.6593878735,140.0,3.5,0.14118505994466646,2696557.0476701553,6426079.277237591,130.0,4.5,3009.806414847833,2696557.0476701553,9736200.399332916,110.0,5.5,216.7345642483861,2254216.617145863,4556664.848489281,120.0,5.5,0.773862588379957,2642300.253658163,4992623.380197437,150.0,2.0,40.53558253919459,3103387.9195863367,9736200.399332916,165.0,0.0,0.771841377190286,9.0,5005,16.0,64.0
104.1,10.0,10.41,1.1618046662181728E7,1161812.026711983,301.0,193997.91263395722,138.0,269645.4764732811,451.0,4.0454240963978015E7,2598813.5632190257,5006472.6593878735,140.0,3.5,0.13901298102772872,2529429.5582644274,6426079.277237591,130.0,4.5,2996.7508802519396,2532802.0055854903,9736200.399332916,110.0,5.5,217.57661878792533,97340.59482804437,4556664.848489281,120.0,5.5,0.14527383055534218,2386396.0284962705,4992623.380197437,150.0,2.0,39.68323296720178,2936483.98060765,9736200.399332916,165.0,0.0,0.7661464014133189,9.0,5011,16.0,64.0
104.1,10.04293409712958,10.41,1.1668419639483023E7,1166879.2300467603,284.0,182264.86773978933,188.0,383768.00297455414,701.0,4.0454240963978015E7,2171394.728151376,5006472.6593878735,140.0,3.5,0.1307276744894849,2086066.4267670314,6426079.277237591,130.0,4.5,2764.4163517220363,2086066.4267670314,9736200.399332916,110.0,5.5,196.67328101188662,98805.20067167777,4556664.848489281,120.0,5.5,0.12940109722645535,1916554.234322474,4992623.380197437,150.0,2.0,35.547621914050595,2787523.3997908593,9736200.399332916,165.0,0.0,0.7658945443462359,9.0,5016,16.0,64.0
104.1,10.04293409712958,10.41,1.1711222227545576E7,1171141.1905105636,285.0,201523.02746932948,252.0,546488.494431327,861.0,4.0454240963978015E7,2130858.3705668775,5006472.6593878735,140.0,3.5,0.132072065209111,2054051.3655552024,6426079.277237591,130.0,4.5,2765.2319052334883,2056055.8650355195,9736200.399332916,110.0,5.5,201.5685221299612,102993.50871076851,4556664.848489281,120.0,5.5,0.11393463853127143,1915911.3417926654,4992623.380197437,150.0,2.0,36.685534394758896,2599925.6685279114,9736200.399332916,165.0,0.0,0.7624057286508723,9.0,5021,16.0,64.0
104.1,10.04293409712958,10.41,1.1749192491036974E7,1174924.946946872,333.0,239129.04327980967,263.0,616212.8583883768,1173.0,4.0454240963978015E7,2146089.1427102583,5006472.6593878735,140.0,3.5,0.13565935739302573,2100643.7373018833,6426079.277237591,130.0,4.5,2890.322751636973,2099638.1638274067,9736200.399332916,110.0,5.5,217.9183714024669,110304.55623174692,4556664.848489281,120.0,5.5,0.09982488198568601,1933798.7725699984,4992623.380197437,150.0,2.0,37.4981719202071,2445894.0835526944,9736200.399332916,165.0,0.0,0.7627455459113751,9.0,5027,16.0,64.0
104.1,10.054222991542847,10.41,1.1794567452852989E7,1179451.5447382554,301.0,224423.62513698617,277.0,599262.9828626991,1177.0,4.0454240963978015E7,2075772.456271748,5006472.6593878735,140.0,3.5,0.13403512791141659,2036664.9806058784,6426079.277237591,130.0,4.5,2811.4395402825503,2036664.9806058784,9736200.399332916,110.0,5.5,215.51583581519662,116860.70019059654,4556664.848489281,120.0,5.5,0.1303062237495227,1925123.2193414862,4992623.380197437,150.0,2.0,36.36494845360825,2341376.5865844977,9736200.399332916,165.0,0.0,0.7660633829705995,9.0,5032,16.0,64.0
104.1,10.054222991542847,10.41,1.1832412741828617E7,1183215.6634580672,303.0,217755.79166985146,303.0,643608.5440149765,1178.0,4.0454240963978015E7,2106567.4697563304,5006472.6593878735,140.0,3.5,0.13881150354718136,2078117.6444107015,6426079.277237591,130.0,4.5,2996.72737203448,2078117.6444107015,9736200.399332916,110.0,5.5,223.0116774734915,124555.79932396699,4556664.848489281,120.0,5.5,0.13886566481043558,1948513.7344524679,4992623.380197437,150.0,2.0,39.42932412846137,2130169.6960541857,9736200.399332916,165.0,0.0,0.7634754748645969,9.0,5037,16.0,64.0
104.1,10.054222991542847,10.41,1.187419763745423E7,1187465.6578670377,295.0,228535.95242132613,282.0,638629.1583774242,1372.0,4.0454240963978015E7,2054624.325410114,5006472.6593878735,140.0,3.5,0.14047229171404746,2047121.0764465942,6426079.277237591,130.0,4.5,2951.209113031612,2047121.0764465942,9736200.399332916,110.0,5.5,217.58774088393602,136210.90670634192,4556664.848489281,120.0,5.5,0.14762868622545675,1942350.8254930153,4992623.380197437,150.0,2.0,39.09953680539762,1961670.0739232341,9736200.399332916,165.0,0.0,0.7590629974982942,9.0,5042,16.0,64.0
104.1,9.977099351640847,10.41,1.1918648208986023E7,1191913.7949770296,328.0,268033.79896378063,273.0,604847.714380459,1386.0,4.0454240963978015E7,2171743.9698029356,5006472.6593878735,140.0,3.5,0.15408703590992087,2136940.3007440385,6426079.277237591,130.0,4.5,3193.1907204808276,2136940.3007440385,9736200.399332916,110.0,5.5,233.1641874619598,149085.4186359494,4556664.848489281,120.0,5.5,0.14712188070602555,1958729.6816160972,4992623.380197437,150.0,2.0,42.76643335362143,1829282.7105233406,9736200.399332916,165.0,0.0,0.7608718807060255,9.0,5048,16.0,64.0
