CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
99.5,9.95,9.95,473120.5894136883,47646.64726477364,1690868.67609456,108773.20579793805,163159.8086969071,140.0,3.5,0.004433352906635349,127497.25347529945,254994.50695059888,130.0,4.5,316.14871403405755,127497.25347529945,421125.5073164883,110.0,5.5,0.6853435114503817,144679.79696728056,223530.46969919372,120.0,5.5,0.13882266588373457,130780.98653113043,206932.8761148837,150.0,2.0,2.5539635936582497,139032.9967430976,421125.5073164883,165.0,0.0,0.733998825601879,4.0,200,17,17.0
99.5,9.827525142771632,9.95,474084.14028449764,47646.64726477364,1690868.67609456,100964.9158422412,163159.8086969071,140.0,3.5,0.004411612234318299,135923.78689793256,254994.50695059888,130.0,4.5,321.87070206620746,132154.17404563984,421125.5073164883,110.0,5.5,0.7016226023846552,113328.58077063675,223530.46969919372,120.0,5.5,0.12576908835073686,131604.47871579233,206932.8761148837,150.0,2.0,2.603332592757165,138217.92712512735,421125.5073164883,165.0,0.0,0.7405761682589054,4.0,202,0,17.0
99.5,9.93866564198272,9.95,476597.21551935945,47902.3652810954,1690868.67609456,105670.77517752009,163159.8086969071,140.0,3.5,0.0045100371747211895,135773.96175458605,254994.50695059888,130.0,4.5,322.3628275092937,135773.96175458605,421125.5073164883,110.0,5.5,0.6977174721189591,89155.57365301537,223530.46969919372,120.0,5.5,0.11119851301115243,135562.54684246317,206932.8761148837,150.0,2.0,2.605204460966543,139352.75578594167,421125.5073164883,165.0,0.0,0.7434944237918216,4.0,204,0,17.0
99.5,9.907831579081307,9.95,481233.20841481833,48368.82557490744,1690868.67609456,99030.9597989326,163159.8086969071,140.0,3.5,0.00444337811900192,131166.8665063626,254994.50695059888,130.0,4.5,317.4819171711206,131166.8665063626,421125.5073164883,110.0,5.5,0.7175882179241104,81248.92157563366,223530.46969919372,120.0,5.5,0.09678871991731877,127512.08305661238,206932.8761148837,150.0,2.0,2.56835966336926,137306.86225186219,421125.5073164883,165.0,0.0,0.7382253063635021,4.0,206,0,17.0
99.5,9.889815999186691,9.95,483148.41122967843,48562.127489617385,1690868.67609456,94892.60310565923,163159.8086969071,140.0,3.5,0.004391827100390942,132776.69657886378,254994.50695059888,130.0,4.5,319.4430921295272,132716.5536736856,421125.5073164883,110.0,5.5,0.7030663126060338,81630.0824136579,223530.46969919372,120.0,5.5,0.12586560448476802,128285.8576485056,206932.8761148837,150.0,2.0,2.575791104226599,137075.17254538686,421125.5073164883,165.0,0.0,0.7376263185070444,4.0,209,0,17.0
99.5,9.889815999186691,9.95,483148.41122967843,48562.127489617385,1690868.67609456,98905.30836186217,163159.8086969071,140.0,3.5,0.004478363959691761,130043.67744348265,254994.50695059888,130.0,4.5,319.9881357439241,133225.74195351487,421125.5073164883,110.0,5.5,0.7039330171902787,88326.92694041815,223530.46969919372,120.0,5.5,0.134883669235329,124723.01541709239,206932.8761148837,150.0,2.0,2.5689537640782456,138438.9971535688,421125.5073164883,165.0,0.0,0.7411455245998816,4.0,211,0,17.0
99.5,9.87216968933575,9.95,487612.9742475186,49013.557831517304,1690868.67609456,99396.50585914448,163159.8086969071,140.0,3.5,0.004488848974704386,131536.82186094866,254994.50695059888,130.0,4.5,321.8163343810807,131480.7569102873,421125.5073164883,110.0,5.5,0.7153128274210447,93924.77944415706,223530.46969919372,120.0,5.5,0.14573941026792397,123729.89342656292,206932.8761148837,150.0,2.0,2.582001197425535,141266.52134389378,421125.5073164883,165.0,0.0,0.74839095943721,4.0,214,0,17.0
99.5,9.946126360818775,9.95,490985.5578448895,49355.18319893923,1690868.67609456,99249.04260134569,163159.8086969071,140.0,3.5,0.00448570367619755,146641.2504839689,254994.50695059888,130.0,4.5,339.7979903453398,146641.2504839689,421125.5073164883,110.0,5.5,0.7001500185666544,93745.52500466957,223530.46969919372,120.0,5.5,0.14361455625696248,130258.24655118395,206932.8761148837,150.0,2.0,2.6712216858522093,135223.01114637882,421125.5073164883,165.0,0.0,0.7426661715558857,4.0,216,0,17.0
99.5,9.944195332847777,9.95,490985.5578448895,49355.18319893923,1690868.67609456,95541.8426413673,163159.8086969071,140.0,3.5,0.004405936920222634,143781.96454553725,254994.50695059888,130.0,4.5,336.46233469387755,143884.25833666133,421125.5073164883,110.0,5.5,0.7313551020408164,96995.77298894135,223530.46969919372,120.0,5.5,0.18214248608534322,128313.4785387756,206932.8761148837,150.0,2.0,2.652578849721707,135011.4112832259,421125.5073164883,165.0,0.0,0.7421150278293136,4.0,219,0,17.0
99.5,9.931428214167623,9.95,490985.5578448895,49355.18319893923,1690868.67609456,92565.82746259906,163159.8086969071,140.0,3.5,0.00440306197556308,134673.50634731972,254994.50695059888,130.0,4.5,329.92639997055795,138455.6326434579,421125.5073164883,110.0,5.5,0.7254210216399235,101034.25217778618,223530.46969919372,120.0,5.5,0.2300139849845429,122212.26210143407,206932.8761148837,150.0,2.0,2.619726188723686,130543.58623533993,421125.5073164883,165.0,0.0,0.7360518180479906,4.0,220,0,17.0
