CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,868764.4272079935,86941.50724367352,43.0,5727.668596764639,19.0,11991.121209847042,25.0,2987648.738453868,266359.8973496234,415796.45331101865,140.0,3.5,0.21556319115323855,190454.47706116296,388667.1304792693,130.0,4.5,5021.3347282780405,190454.47706116296,701368.044821697,110.0,5.5,355.7859304897314,260334.27682576023,404488.55502775207,120.0,5.5,0.15812875197472354,242796.98279432993,375960.5099924338,150.0,2.0,62.36935387045814,236302.22712488004,701368.044821697,165.0,0.0,0.7890726698262244,0.0,1000,16.0,64.0
105.8,10.0,10.58,872947.7198498242,87294.77198498242,50.0,6385.749159255188,21.0,14484.738064448586,54.0,2987648.738453868,248741.50613317956,415796.45331101865,140.0,3.5,0.21244442698923888,206490.88038462336,388667.1304792693,130.0,4.5,5293.888855549446,208589.82277092474,701368.044821697,110.0,5.5,377.09291964496117,304118.3893088939,404488.55502775207,120.0,5.5,0.17478124263608516,258856.54913546046,375960.5099924338,150.0,2.0,66.2174990181447,225124.8624979212,701368.044821697,165.0,0.0,0.7872987196606709,0.0,1004,16.0,64.0
105.8,10.0,10.58,875764.3094812954,87576.35103616645,56.0,6941.748311814265,29.0,23700.566415297766,106.0,2987648.738453868,214277.2819214869,415796.45331101865,140.0,3.5,0.20195554869578639,227690.09159337208,388667.1304792693,130.0,4.5,5645.408106189227,227331.15077574606,701368.044821697,110.0,5.5,386.5087305139682,346391.42361194507,404488.55502775207,120.0,5.5,0.19194783145547156,269551.2955824284,375960.5099924338,150.0,2.0,69.31741240932243,205937.6643958553,701368.044821697,165.0,0.0,0.7713196480938417,0.0,1008,16.0,64.0
105.8,10.023484134890278,10.58,877881.9002806443,87789.1706037169,51.0,7427.868814601014,22.0,16303.994345879088,151.0,2987648.738453868,208611.86840179627,415796.45331101865,140.0,3.5,0.20369493094668623,222490.353338395,388667.1304792693,130.0,4.5,5692.616460921226,222490.353338395,701368.044821697,110.0,5.5,370.82631818532525,317906.1574191759,404488.55502775207,120.0,5.5,0.18735282771391099,226384.42917638386,375960.5099924338,150.0,2.0,67.0459077231695,193611.9330359344,701368.044821697,165.0,0.0,0.7721703572255227,0.0,1012,16.0,64.0
105.8,10.023484134890278,10.58,881328.9481101949,88133.06777391862,79.0,12224.598922923764,29.0,21883.46445156776,168.0,2987648.738453868,207570.02862798134,415796.45331101865,140.0,3.5,0.2053415427509294,224798.34305208095,388667.1304792693,130.0,4.5,5783.30227850062,226259.2603311607,701368.044821697,110.0,5.5,363.46577369888485,268662.7285110537,404488.55502775207,120.0,5.5,0.1769648389095415,217552.88054804012,375960.5099924338,150.0,2.0,67.13289885377944,178771.02523956678,701368.044821697,165.0,0.0,0.7736377013630732,0.0,1016,16.0,64.0
105.8,10.023484134890278,10.58,884574.7766906436,88457.41399575114,67.0,8955.81561949095,38.0,30651.878455880218,192.0,2987648.738453868,189879.4430169576,415796.45331101865,140.0,3.5,0.19809841146842308,204613.78540231366,388667.1304792693,130.0,4.5,5697.574750096862,210670.43897236223,701368.044821697,110.0,5.5,349.22819527314994,235639.56829923415,404488.55502775207,120.0,5.5,0.16858969391708642,185597.58716924093,375960.5099924338,150.0,2.0,64.05137698566448,169247.93504090956,701368.044821697,165.0,0.0,0.7759008136381248,0.0,1019,16.0,64.0
105.8,9.978676043238126,10.58,888179.7333232401,88820.65593129532,44.0,6782.914591422348,40.0,30918.957023038223,196.0,2987648.738453868,185726.6053464504,415796.45331101865,140.0,3.5,0.19964591439688714,196340.7776917856,388667.1304792693,130.0,4.5,5772.6068521400775,196340.7776917856,701368.044821697,110.0,5.5,359.87392062256805,246317.3072013138,404488.55502775207,120.0,5.5,0.17390739299610897,186462.80252218677,375960.5099924338,150.0,2.0,65.57548871595331,163983.2191449476,701368.044821697,165.0,0.0,0.7791595330739299,0.0,1023,16.0,64.0
105.8,9.978676043238126,10.58,890587.6539855888,89061.96255873918,64.0,8991.458239434123,35.0,23494.77664816641,234.0,2987648.738453868,173543.44392299,415796.45331101865,140.0,3.5,0.19510597003338248,192053.94061670057,388667.1304792693,130.0,4.5,5756.315473177548,195141.87711437454,701368.044821697,110.0,5.5,356.6796017389954,185997.33897079204,404488.55502775207,120.0,5.5,0.1571399736045338,164731.8026365693,375960.5099924338,150.0,2.0,64.61571228941852,153007.4393379658,701368.044821697,165.0,0.0,0.7769816008073906,0.0,1027,16.0,64.0
105.8,9.978676043238126,10.58,893675.5497663661,89371.431415293,65.0,9973.619431959989,40.0,30873.09811082779,235.0,2987648.738453868,160245.2035690802,415796.45331101865,140.0,3.5,0.1891341453952983,200940.16253154806,388667.1304792693,130.0,4.5,5986.895621072232,200940.16253154806,701368.044821697,110.0,5.5,350.01628210101643,163973.57236267792,404488.55502775207,120.0,5.5,0.15174489875087283,153451.2829419192,375960.5099924338,150.0,2.0,64.15004965474435,144548.07616004103,701368.044821697,165.0,0.0,0.7742400496547445,0.0,1031,16.0,64.0
105.8,10.028154077709877,10.58,895926.613831485,89597.59453599105,65.0,9396.830174686918,43.0,36628.17762442414,262.0,2987648.738453868,153881.44945722425,415796.45331101865,140.0,3.5,0.1800870985302123,241965.44722366886,388667.1304792693,130.0,4.5,6516.572172019597,241965.44722366886,701368.044821697,110.0,5.5,373.206319309433,167629.25546091844,404488.55502775207,120.0,5.5,0.15612800373279415,180866.41782597543,375960.5099924338,150.0,2.0,68.94564429582394,140516.32739418524,701368.044821697,165.0,0.0,0.7717334162843145,0.0,1035,16.0,64.0
