CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,1147763.3722935768,114813.34513127459,50.0,5559.244658346106,22.0,18853.17860335586,24.0,4064898.5145393703,251268.30518341684,387810.7558310912,140.0,3.5,0.21556319115323855,354072.7447746342,747870.8667148354,130.0,4.5,5021.3347282780405,356407.46004671,960139.0494071179,110.0,5.5,355.7859304897314,307205.9990617372,477075.3059753472,120.0,5.5,0.15812875197472354,341736.5030367287,531863.4872038608,150.0,2.0,62.36935387045814,313555.05943468184,960139.0494071179,165.0,0.0,0.7890726698262244,6.0,1000,16.0,64.0
105.8,10.0,10.58,1150905.7514363148,115090.57514363149,56.0,6382.881878731355,28.0,29759.900867521956,56.0,4064898.5145393703,231963.43054983686,387810.7558310912,140.0,3.5,0.21244442698923888,374643.39581583114,747870.8667148354,130.0,4.5,5293.888855549446,379860.7069692309,960139.0494071179,110.0,5.5,377.09291964496117,366254.60063838615,477075.3059753472,120.0,5.5,0.17478124263608516,372253.7923167797,531863.4872038608,150.0,2.0,66.2174990181447,302956.81364857283,960139.0494071179,165.0,0.0,0.7872987196606709,6.0,1004,16.0,64.0
105.8,10.0,10.58,1154443.614187309,115444.4235215458,60.0,8655.505571587717,32.0,32351.93416498876,98.0,4064898.5145393703,198678.66780675977,387810.7558310912,140.0,3.5,0.20195554869578639,414840.9788876998,747870.8667148354,130.0,4.5,5645.408106189227,414840.9788876998,960139.0494071179,110.0,5.5,386.5087305139682,426976.79587536864,477075.3059753472,120.0,5.5,0.19194783145547156,392989.3044357168,531863.4872038608,150.0,2.0,69.31741240932243,279527.23577247263,960139.0494071179,165.0,0.0,0.7713196480938417,6.0,1007,16.0,64.0
105.8,10.036809278279744,10.58,1155469.6366665503,115547.14973712394,55.0,6601.016808685297,31.0,28361.71688871713,122.0,4064898.5145393703,200654.59498796763,387810.7558310912,140.0,3.5,0.20369493094668623,400915.3229315938,747870.8667148354,130.0,4.5,5692.616460921226,400915.3229315938,960139.0494071179,110.0,5.5,370.82631818532525,381394.69753170706,477075.3059753472,120.0,5.5,0.18735282771391099,351920.91812709655,531863.4872038608,150.0,2.0,67.0459077231695,266328.2525594191,960139.0494071179,165.0,0.0,0.7721703572255227,6.0,1011,16.0,64.0
105.8,10.036809278279744,10.58,1160731.2996652438,116071.38635982038,65.0,8455.900100821716,43.0,44013.866319928246,133.0,4064898.5145393703,190711.0892254853,387810.7558310912,140.0,3.5,0.2053415427509294,410243.7640819959,747870.8667148354,130.0,4.5,5783.30227850062,410243.7640819959,960139.0494071179,110.0,5.5,363.46577369888485,323272.61173829244,477075.3059753472,120.0,5.5,0.1769648389095415,334881.10947791376,531863.4872038608,150.0,2.0,67.13289885377944,258906.45811273486,960139.0494071179,165.0,0.0,0.7736377013630732,6.0,1015,16.0,64.0
105.8,10.036809278279744,10.58,1163920.3610288433,116390.97573894516,62.0,9865.841441675853,29.0,28740.76423935122,171.0,4064898.5145393703,172561.09245561503,387810.7558310912,140.0,3.5,0.19809841146842308,369829.2734339026,747870.8667148354,130.0,4.5,5697.574750096862,369829.2734339026,960139.0494071179,110.0,5.5,349.22819527314994,278598.6429999334,477075.3059753472,120.0,5.5,0.16858969391708642,290617.01341978705,531863.4872038608,150.0,2.0,64.05137698566448,250965.3367838739,960139.0494071179,165.0,0.0,0.7759008136381248,6.0,1018,16.0,64.0
105.8,10.018722834166512,10.58,1166136.7501397186,116614.24687466782,74.0,10393.41935947564,42.0,45817.281720504725,245.0,4064898.5145393703,172957.18271231724,387810.7558310912,140.0,3.5,0.19964591439688714,373679.01665420516,747870.8667148354,130.0,4.5,5772.6068521400775,373679.01665420516,960139.0494071179,110.0,5.5,359.87392062256805,284206.1478757172,477075.3059753472,120.0,5.5,0.17390739299610897,299550.569644354,531863.4872038608,150.0,2.0,65.57548871595331,242234.6652410968,960139.0494071179,165.0,0.0,0.7791595330739299,6.0,1022,16.0,64.0
105.8,10.018722834166512,10.58,1171988.5901401627,117198.33729191018,70.0,11406.76898811756,34.0,29726.641004485846,247.0,4064898.5145393703,164852.28149167998,387810.7558310912,140.0,3.5,0.19510597003338248,349053.6601309462,747870.8667148354,130.0,4.5,5756.315473177548,352421.81690660166,960139.0494071179,110.0,5.5,356.6796017389954,210494.91691744505,477075.3059753472,120.0,5.5,0.1571399736045338,270876.32442149404,531863.4872038608,150.0,2.0,64.61571228941852,235712.8502670269,960139.0494071179,165.0,0.0,0.7769816008073906,6.0,1026,16.0,64.0
105.8,10.018722834166512,10.58,1176897.1199857525,117689.70785655407,86.0,13024.521472803379,45.0,40339.431758408435,294.0,4064898.5145393703,156744.41173886938,387810.7558310912,140.0,3.5,0.1891341453952983,373161.0006545384,747870.8667148354,130.0,4.5,5986.895621072232,375829.6281746641,960139.0494071179,110.0,5.5,350.01628210101643,189026.5356647555,477075.3059753472,120.0,5.5,0.15174489875087283,253484.13027596043,531863.4872038608,150.0,2.0,64.15004965474435,229582.8452225826,960139.0494071179,165.0,0.0,0.7742400496547445,6.0,1030,16.0,64.0
105.8,9.95803594776078,10.58,1180542.3885290753,118055.04382918846,67.0,11154.615511621561,45.0,53933.34645054914,297.0,4064898.5145393703,151700.40093680975,387810.7558310912,140.0,3.5,0.1800870985302123,444146.4732129462,747870.8667148354,130.0,4.5,6516.572172019597,444125.3547044668,960139.0494071179,110.0,5.5,373.206319309433,196779.68795245767,477075.3059753472,120.0,5.5,0.15612800373279415,300860.83898852015,531863.4872038608,150.0,2.0,68.94564429582394,212597.10560246152,960139.0494071179,165.0,0.0,0.7717334162843145,6.0,1033,16.0,64.0
