CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,2148733.5017236844,214904.05994972266,112.0,30445.56284728339,45.0,45911.97483740789,68.0,7679069.519390827,546248.6396826955,873339.1966259163,140.0,3.5,0.14665765278528936,608455.9955897866,1256129.933221525,130.0,4.5,3147.4851572278453,608455.9955897866,1869539.4831908327,110.0,5.5,226.8840346133045,587354.7824348188,919565.1871662848,120.0,5.5,0.8548559066676967,575520.0314675979,890956.2359954361,150.0,2.0,43.02217492080662,594404.6909409985,1869539.4831908327,165.0,0.0,0.773947307424863,9.0,2000,8.0,32.0
104.1,10.0,10.41,2157243.6537606735,215724.36537606744,125.0,32876.59831493861,49.0,42194.6332024432,96.0,7679069.519390827,476852.96421268466,873339.1966259163,140.0,3.5,0.14118505994466646,534954.820858158,1256129.933221525,130.0,4.5,3009.806414847833,534954.820858158,1869539.4831908327,110.0,5.5,216.7345642483861,462489.6687093449,919565.1871662848,120.0,5.5,0.773862588379957,489669.0084288513,890956.2359954361,150.0,2.0,40.53558253919459,567121.9672155479,1869539.4831908327,165.0,0.0,0.771841377190286,9.0,2005,8.0,32.0
104.1,10.0,10.41,2167263.8670211276,216725.9575871426,93.0,24901.80710426504,74.0,74107.49787833888,163.0,7679069.519390827,439957.74287016713,873339.1966259163,140.0,3.5,0.13901298102772872,514443.91913433315,1256129.933221525,130.0,4.5,2996.7508802519396,514443.91913433315,1869539.4831908327,110.0,5.5,217.57661878792533,22978.01921645856,919565.1871662848,120.0,5.5,0.14527383055534218,451368.48430490284,890956.2359954361,150.0,2.0,39.68323296720178,531442.0728217477,1869539.4831908327,165.0,0.0,0.7661464014133189,9.0,2010,8.0,32.0
104.1,10.017937320513171,10.41,2177621.5766429068,217767.84996600394,120.0,32699.3512678261,84.0,86354.07823536037,190.0,7679069.519390827,364679.9533302341,873339.1966259163,140.0,3.5,0.1307276744894849,419146.5527368528,1256129.933221525,130.0,4.5,2764.4163517220363,419146.5527368528,1869539.4831908327,110.0,5.5,196.67328101188662,24514.925078340173,919565.1871662848,120.0,5.5,0.12940109722645535,368610.13453256706,890956.2359954361,150.0,2.0,35.547621914050595,496427.0962833922,1869539.4831908327,165.0,0.0,0.7658945443462359,9.0,2015,8.0,32.0
104.1,10.017937320513171,10.41,2187918.0283510224,218795.65153619667,125.0,35008.349474960756,113.0,103283.11680157161,214.0,7679069.519390827,355826.0952988322,873339.1966259163,140.0,3.5,0.132072065209111,402030.367887598,1256129.933221525,130.0,4.5,2765.2319052334883,402030.367887598,1869539.4831908327,110.0,5.5,201.5685221299612,25850.210619619138,919565.1871662848,120.0,5.5,0.11393463853127143,373345.04132742796,890956.2359954361,150.0,2.0,36.685534394758896,468277.9739652236,1869539.4831908327,165.0,0.0,0.7624057286508723,9.0,2020,8.0,32.0
104.1,10.017937320513171,10.41,2194420.942906554,219446.95254978226,114.0,30743.915387583133,120.0,132997.72206807774,215.0,7679069.519390827,352540.675082947,873339.1966259163,140.0,3.5,0.13565935739302573,406323.9424769262,1256129.933221525,130.0,4.5,2890.322751636973,405771.53813877,1869539.4831908327,110.0,5.5,217.9183714024669,26675.219632902044,919565.1871662848,120.0,5.5,0.09982488198568601,373304.6079554458,890956.2359954361,150.0,2.0,37.4981719202071,439886.513203647,1869539.4831908327,165.0,0.0,0.7627455459113751,9.0,2025,8.0,32.0
104.1,10.04067439172923,10.41,2200632.6701168427,220070.49544662202,128.0,37990.69079807876,94.0,97886.15938250597,270.0,7679069.519390827,333999.356249151,873339.1966259163,140.0,3.5,0.13403512791141659,396690.95136602444,1256129.933221525,130.0,4.5,2811.4395402825503,396690.95136602444,1869539.4831908327,110.0,5.5,215.51583581519662,29635.331160332298,919565.1871662848,120.0,5.5,0.1303062237495227,371401.6598378166,890956.2359954361,150.0,2.0,36.36494845360825,408647.04060097924,1869539.4831908327,165.0,0.0,0.7660633829705995,9.0,2029,8.0,32.0
104.1,10.04067439172923,10.41,2209311.4857599535,220934.86125558196,136.0,39258.46187732578,112.0,129062.16005388625,344.0,7679069.519390827,333366.65031870484,873339.1966259163,140.0,3.5,0.13881150354718136,407446.69989797566,1256129.933221525,130.0,4.5,2996.72737203448,407446.69989797566,1869539.4831908327,110.0,5.5,223.0116774734915,33138.87848125344,919565.1871662848,120.0,5.5,0.13886566481043558,374415.5495943206,890956.2359954361,150.0,2.0,39.42932412846137,382855.7355923324,1869539.4831908327,165.0,0.0,0.7634754748645969,9.0,2033,8.0,32.0
104.1,10.04067439172923,10.41,2217774.7648549457,221782.80466131444,135.0,44691.18905775258,112.0,139175.54549224587,345.0,7679069.519390827,333852.53705622244,873339.1966259163,140.0,3.5,0.14047229171404746,400064.8683486881,1256129.933221525,130.0,4.5,2951.209113031612,400628.90941154916,1869539.4831908327,110.0,5.5,217.58774088393602,36084.79512200591,919565.1871662848,120.0,5.5,0.14762868622545675,374132.1560745535,890956.2359954361,150.0,2.0,39.09953680539762,357015.5961099239,1869539.4831908327,165.0,0.0,0.7590629974982942,9.0,2037,8.0,32.0
104.1,10.039565315630872,10.41,2224833.5112219965,222488.96495612417,139.0,45193.36972581205,132.0,145886.23767064587,374.0,7679069.519390827,351492.02909905877,873339.1966259163,140.0,3.5,0.15408703590992087,415789.6964347049,1256129.933221525,130.0,4.5,3193.1907204808276,415789.6964347049,1869539.4831908327,110.0,5.5,233.1641874619598,38618.78716238679,919565.1871662848,120.0,5.5,0.14712188070602555,376687.39751765784,890956.2359954361,150.0,2.0,42.76643335362143,338470.3146654804,1869539.4831908327,165.0,0.0,0.7608718807060255,9.0,2041,8.0,32.0
