CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,589210.1032653025,58966.68875430651,31.0,1671.594130919749,10.0,9461.50296131278,29.0,2121718.52733311,170628.58063561743,266986.6997354337,140.0,3.5,0.004433352906635349,131634.57657917083,272888.6802437402,130.0,4.5,316.14871403405755,131634.57657917083,536075.0727871546,110.0,5.5,0.6853435114503817,182739.67523890443,287327.81871210935,120.0,5.5,0.13882266588373457,142944.67138260446,222365.1830675177,150.0,2.0,2.5539635936582497,160578.40261028847,536075.0727871546,165.0,0.0,0.733998825601879,6.0,500,16.0,64.0
99.5,10.0,9.95,591918.1388242993,59191.81388242992,29.0,1670.9960250165675,16.0,16890.05135882039,47.0,2121718.52733311,155673.3612664867,266986.6997354337,140.0,3.5,0.004411612234318299,128196.17800494825,272888.6802437402,130.0,4.5,321.87070206620746,131606.80032913393,536075.0727871546,110.0,5.5,0.7016226023846552,144855.363629902,287327.81871210935,120.0,5.5,0.12576908835073686,140587.2493977336,222365.1830675177,150.0,2.0,2.603332592757165,158296.43361258414,536075.0727871546,165.0,0.0,0.7405761682589054,6.0,503,16.0,64.0
99.5,10.0,9.95,592583.7995148348,59258.206178375156,34.0,2251.296670665851,18.0,19431.879414858962,79.0,2121718.52733311,157196.38731498763,266986.6997354337,140.0,3.5,0.0045100371747211895,120756.1591144097,272888.6802437402,130.0,4.5,322.3628275092937,122273.7972970209,536075.0727871546,110.0,5.5,0.6977174721189591,120273.75522659396,287327.81871210935,120.0,5.5,0.11119851301115243,134952.09587271442,222365.1830675177,150.0,2.0,2.605204460966543,151901.0500270238,536075.0727871546,165.0,0.0,0.7434944237918216,6.0,506,16.0,64.0
99.5,10.023307791337574,9.95,596398.9273803353,59640.141902009265,28.0,1252.7911395137294,19.0,19202.418269295984,87.0,2121718.52733311,144075.6425504473,266986.6997354337,140.0,3.5,0.00444337811900192,109115.00542103678,272888.6802437402,130.0,4.5,317.4819171711206,109115.00542103678,536075.0727871546,110.0,5.5,0.7175882179241104,112470.72019354734,287327.81871210935,120.0,5.5,0.09678871991731877,126140.7584186527,222365.1830675177,150.0,2.0,2.56835966336926,145791.93298370714,536075.0727871546,165.0,0.0,0.7382253063635021,6.0,510,16.0,64.0
99.5,10.023307791337574,9.95,596706.3839160465,59670.816060890924,43.0,2820.432961706351,24.0,27146.4191082751,87.0,2121718.52733311,137098.45007844464,266986.6997354337,140.0,3.5,0.004391827100390942,103405.9285998951,272888.6802437402,130.0,4.5,319.4430921295272,105327.46145261906,536075.0727871546,110.0,5.5,0.7030663126060338,114248.81891945604,287327.81871210935,120.0,5.5,0.12586560448476802,123328.33040037703,222365.1830675177,150.0,2.0,2.575791104226599,141564.01347317552,536075.0727871546,165.0,0.0,0.7376263185070444,6.0,513,16.0,64.0
99.5,10.023307791337574,9.95,599120.0941104363,59912.2846755026,34.0,2222.368228077904,14.0,15692.130155223109,96.0,2121718.52733311,136272.10319369053,266986.6997354337,140.0,3.5,0.004478363959691761,92846.50953648923,272888.6802437402,130.0,4.5,319.9881357439241,94888.51927513823,536075.0727871546,110.0,5.5,0.7039330171902787,114390.48903191982,287327.81871210935,120.0,5.5,0.134883669235329,105729.4743347149,222365.1830675177,150.0,2.0,2.5689537640782456,135566.702614267,536075.0727871546,165.0,0.0,0.7411455245998816,6.0,516,16.0,64.0
99.5,9.963473846306242,9.95,601735.6435775667,60173.94537849182,38.0,2955.0265938079347,13.0,11430.438090879345,97.0,2121718.52733311,128471.68084434165,266986.6997354337,140.0,3.5,0.004488848974704386,85230.45787088596,272888.6802437402,130.0,4.5,321.8163343810807,85230.45787088596,536075.0727871546,110.0,5.5,0.7153128274210447,114676.46403317976,287327.81871210935,120.0,5.5,0.14573941026792397,99066.93773935444,222365.1830675177,150.0,2.0,2.582001197425535,124722.39708069414,536075.0727871546,165.0,0.0,0.74839095943721,6.0,519,16.0,64.0
99.5,9.963473846306242,9.95,604238.7981003427,60425.17848868901,34.0,2699.6023209870887,30.0,26191.361585376846,98.0,2121718.52733311,121262.29198474348,266986.6997354337,140.0,3.5,0.00448570367619755,91578.79423332478,272888.6802437402,130.0,4.5,339.7979903453398,91578.79423332478,536075.0727871546,110.0,5.5,0.7001500185666544,111380.35028585732,287327.81871210935,120.0,5.5,0.14361455625696248,102939.30702484692,222365.1830675177,150.0,2.0,2.6712216858522093,115454.05534725363,536075.0727871546,165.0,0.0,0.7426661715558857,6.0,522,16.0,64.0
99.5,9.963473846306242,9.95,606718.1598712371,60673.614863862276,36.0,2374.5690359937435,28.0,24689.348529277086,115.0,2121718.52733311,107582.86549599968,266986.6997354337,140.0,3.5,0.004405936920222634,88680.10588191843,272888.6802437402,130.0,4.5,336.46233469387755,88680.10588191843,536075.0727871546,110.0,5.5,0.7313551020408164,111596.80611627898,287327.81871210935,120.0,5.5,0.18214248608534322,92093.64749075679,222365.1830675177,150.0,2.0,2.652578849721707,107732.68949921396,536075.0727871546,165.0,0.0,0.7421150278293136,6.0,525,16.0,64.0
99.5,10.018358059039475,9.95,610074.9159484028,61009.22733669721,28.0,980.4539801495312,25.0,24291.885201595484,122.0,2121718.52733311,104393.8085862665,266986.6997354337,140.0,3.5,0.00440306197556308,79441.76782762472,272888.6802437402,130.0,4.5,329.92639997055795,79441.76782762472,536075.0727871546,110.0,5.5,0.7254210216399235,111702.0668858468,287327.81871210935,120.0,5.5,0.2300139849845429,83887.1670765504,222365.1830675177,150.0,2.0,2.619726188723686,93921.99639416955,536075.0727871546,165.0,0.0,0.7360518180479906,6.0,529,16.0,64.0
