CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
99.5,9.95,9.95,2.3413231942027453E7,2353117.926946977,8.319480050387226E7,6595136.116835653,1.0015431661402382E7,140.0,3.5,0.004433352906635349,6536776.238560406,1.3178234958312254E7,130.0,4.5,316.14871403405755,6543674.522949544,1.9891235300458748E7,110.0,5.5,0.6853435114503817,6834678.1907073,1.0347573383496854E7,120.0,5.5,0.13882266588373457,6495605.761720658,9871089.89974327,150.0,2.0,2.5539635936582497,6383150.088498692,1.9891235300458748E7,165.0,0.0,0.733998825601879,4.0,10000,17,17.0
99.5,9.949999999999934,9.95,2.342129891182912E7,2353899.38812353,8.319480050387226E7,6453957.854758002,1.0015431661402382E7,140.0,3.5,0.004411612234318299,6724853.090718678,1.3178234958312254E7,130.0,4.5,321.87070206620746,6727477.262145653,1.9891235300458748E7,110.0,5.5,0.7016226023846552,5543417.649771338,1.0347573383496854E7,120.0,5.5,0.12576908835073686,6647267.717469191,9871089.89974327,150.0,2.0,2.603332592757165,6424730.369997676,1.9891235300458748E7,165.0,0.0,0.7405761682589054,3.6,10006,0,17.0
99.5,9.949999999999918,9.95,2.342635093246821E7,2354407.128891277,8.319480050387226E7,6675383.7615944715,1.0015431661402382E7,140.0,3.5,0.0045100371747211895,6658738.2355053,1.3178234958312254E7,130.0,4.5,322.3628275092937,6658738.2355053,1.9891235300458748E7,110.0,5.5,0.6977174721189591,4589154.531694096,1.0347573383496854E7,120.0,5.5,0.11119851301115243,6597187.565518257,9871089.89974327,150.0,2.0,2.605204460966543,6406028.318602928,1.9891235300458748E7,165.0,0.0,0.7434944237918216,3.24,10012,0,17.0
99.5,9.949999999999909,9.95,2.3429483415142804E7,2354721.9512706334,8.319480050387226E7,6353511.086131369,1.0015431661402382E7,140.0,3.5,0.00444337811900192,6373431.695795317,1.3178234958312254E7,130.0,4.5,317.4819171711206,6373431.695795317,1.9891235300458748E7,110.0,5.5,0.7175882179241104,4280322.053068376,1.0347573383496854E7,120.0,5.5,0.09678871991731877,6332041.916180299,9871089.89974327,150.0,2.0,2.56835966336926,6246660.484842955,1.9891235300458748E7,165.0,0.0,0.7382253063635021,2.9160000000000004,10018,0,17.0
99.5,9.949999999999894,9.95,2.3432281193978455E7,2355003.135073212,8.319480050387226E7,6099128.181885551,1.0015431661402382E7,140.0,3.5,0.004391827100390942,6379587.527051289,1.3178234958312254E7,130.0,4.5,319.4430921295272,6379587.527051289,1.9891235300458748E7,110.0,5.5,0.7030663126060338,4340356.385375722,1.0347573383496854E7,120.0,5.5,0.12586560448476802,6227093.33133707,9871089.89974327,150.0,2.0,2.575791104226599,6139419.404401036,1.9891235300458748E7,165.0,0.0,0.7376263185070444,2.6244000000000005,10023,0,17.0
99.5,9.94999999999989,9.95,2.343632606791697E7,2355409.655067033,8.319480050387226E7,6265468.468466552,1.0015431661402382E7,140.0,3.5,0.004478363959691761,6345128.839810263,1.3178234958312254E7,130.0,4.5,319.9881357439241,6345128.839810263,1.9891235300458748E7,110.0,5.5,0.7039330171902787,4341178.479626806,1.0347573383496854E7,120.0,5.5,0.134883669235329,6061328.111085328,9871089.89974327,150.0,2.0,2.5689537640782456,6135253.887130639,1.9891235300458748E7,165.0,0.0,0.7411455245998816,2.3619600000000003,10030,0,17.0
99.5,9.949999999999882,9.95,2.3438286114406407E7,2355606.6446639607,8.319480050387226E7,6201586.038285561,1.0015431661402382E7,140.0,3.5,0.004488848974704386,6346054.679803453,1.3178234958312254E7,130.0,4.5,321.8163343810807,6346054.679803453,1.9891235300458748E7,110.0,5.5,0.7153128274210447,4342564.107524157,1.0347573383496854E7,120.0,5.5,0.14573941026792397,6069433.839182836,9871089.89974327,150.0,2.0,2.582001197425535,6173847.521963362,1.9891235300458748E7,165.0,0.0,0.74839095943721,2.125764,10036,0,17.0
99.5,9.949999999999878,9.95,2.343876152940601E7,2355654.4250659314,8.319480050387226E7,6096750.88949025,1.0015431661402382E7,140.0,3.5,0.00448570367619755,7014563.706551578,1.3178234958312254E7,130.0,4.5,339.7979903453398,7014563.706551578,1.9891235300458748E7,110.0,5.5,0.7001500185666544,4342571.107335624,1.0347573383496854E7,120.0,5.5,0.14361455625696248,6448094.7012025155,9871089.89974327,150.0,2.0,2.6712216858522093,5993787.886486398,1.9891235300458748E7,165.0,0.0,0.7426661715558857,1.9131876,10042,0,17.0
99.5,9.949999999999878,9.95,2.344589933283579E7,2356371.7922448027,8.319480050387226E7,5779195.908221118,1.0015431661402382E7,140.0,3.5,0.004405936920222634,6777338.762627867,1.3178234958312254E7,130.0,4.5,336.46233469387755,6777338.762627867,1.9891235300458748E7,110.0,5.5,0.7313551020408164,4340938.123168285,1.0347573383496854E7,120.0,5.5,0.18214248608534322,6274736.837987812,9871089.89974327,150.0,2.0,2.652578849721707,5879525.628397039,1.9891235300458748E7,165.0,0.0,0.7421150278293136,1.7218688400000002,10048,0,17.0
99.5,9.949999999999907,9.95,2.345068444145499E7,2356852.707683919,8.319480050387226E7,5668761.137689331,1.0015431661402382E7,140.0,3.5,0.00440306197556308,6426077.704747443,1.3178234958312254E7,130.0,4.5,329.92639997055795,6434207.0158624025,1.9891235300458748E7,110.0,5.5,0.7254210216399235,4347253.77610228,1.0347573383496854E7,120.0,5.5,0.2300139849845429,6001217.1580705475,9871089.89974327,150.0,2.0,2.619726188723686,5693269.138628492,1.9891235300458748E7,165.0,0.0,0.7360518180479906,1.5496819560000001,10054,0,17.0
