CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,1169423.000028768,116979.49795753998,22.0,8272.040611063301,59.0,22262.136907446733,12.0,4268672.781764675,344249.1571688615,518002.07964094065,140.0,3.5,0.004433352906635349,351190.8989110936,707118.286952784,130.0,4.5,316.14871403405755,351190.8989110936,1045895.4146805499,110.0,5.5,0.6853435114503817,313386.32303277997,472133.9680659089,120.0,5.5,0.13882266588373457,314162.5882890622,479627.6177439424,150.0,2.0,2.5539635936582497,297366.16965408827,1045895.4146805499,165.0,0.0,0.733998825601879,0.0,1000,16.0,16.0
99.5,9.849086586210317,9.95,1170836.3264491502,117083.63264491502,36.0,16841.838512023056,54.0,19220.798807995307,39.0,4268672.781764675,329855.3331784424,518002.07964094065,140.0,3.5,0.004411612234318299,360151.2459399081,707118.286952784,130.0,4.5,321.87070206620746,360151.2459399081,1045895.4146805499,110.0,5.5,0.7016226023846552,253865.05879036395,472133.9680659089,120.0,5.5,0.12576908835073686,324630.6943659635,479627.6177439424,150.0,2.0,2.603332592757165,298778.7820254992,1045895.4146805499,165.0,0.0,0.7405761682589054,0.0,1004,17.0,65.0
99.5,9.905472675657448,9.95,1170836.3264491502,117083.63264491502,35.0,11522.789055935831,79.0,29613.988587563555,36.0,4268672.781764675,340540.5477044518,518002.07964094065,140.0,3.5,0.0045100371747211895,360620.6421341114,707118.286952784,130.0,4.5,322.3628275092937,360620.6421341114,1045895.4146805499,110.0,5.5,0.6977174721189591,208120.4870722873,472133.9680659089,120.0,5.5,0.11119851301115243,312478.9793062326,479627.6177439424,150.0,2.0,2.605204460966543,296913.9597761552,1045895.4146805499,165.0,0.0,0.7434944237918216,0.0,1007,17.0,65.0
99.5,9.931988293829251,9.95,1171796.4475492977,117180.56099266637,45.0,14287.116778322725,64.0,23633.479496385833,25.0,4268672.781764675,330307.34743178694,518002.07964094065,140.0,3.5,0.00444337811900192,345866.49156761426,707118.286952784,130.0,4.5,317.4819171711206,347700.0392048579,1045895.4146805499,110.0,5.5,0.7175882179241104,191339.26990689343,472133.9680659089,120.0,5.5,0.09678871991731877,300869.6378410607,479627.6177439424,150.0,2.0,2.56835966336926,285941.90843673603,1045895.4146805499,165.0,0.0,0.7382253063635021,0.0,1010,17.0,65.0
99.5,9.864160795487074,9.95,1171796.4475492977,117180.56099266637,55.0,22596.25141013814,67.0,24991.67828822462,68.0,4268672.781764675,317767.2357439575,518002.07964094065,140.0,3.5,0.004391827100390942,342134.85567354225,707118.286952784,130.0,4.5,319.4430921295272,342134.85567354225,1045895.4146805499,110.0,5.5,0.7030663126060338,195624.57269672345,472133.9680659089,120.0,5.5,0.12586560448476802,296479.0830526526,479627.6177439424,150.0,2.0,2.575791104226599,283705.60126631137,1045895.4146805499,165.0,0.0,0.7376263185070444,0.0,1014,17.0,65.0
99.5,9.948417720265299,9.95,1173677.995757883,117371.30689062923,70.0,27407.73335801976,49.0,20652.951902267105,5.0,4268672.781764675,329319.4522870432,518002.07964094065,140.0,3.5,0.004478363959691761,335521.35039154097,707118.286952784,130.0,4.5,319.9881357439241,343326.76174171,1045895.4146805499,110.0,5.5,0.7039330171902787,195814.52399009623,472133.9680659089,120.0,5.5,0.134883669235329,293490.75695781404,479627.6177439424,150.0,2.0,2.5689537640782456,283512.9600128702,1045895.4146805499,165.0,0.0,0.7411455245998816,0.0,1018,17.0,65.0
99.5,9.74768080474355,9.95,1174966.5674293078,117500.8321787361,60.0,17769.26559451982,61.0,24368.068501246686,57.0,4268672.781764675,324609.4514298208,518002.07964094065,140.0,3.5,0.004488848974704386,332806.21270388685,707118.286952784,130.0,4.5,321.8163343810807,336389.6357743424,1045895.4146805499,110.0,5.5,0.7153128274210447,196043.18303244046,472133.9680659089,120.0,5.5,0.14573941026792397,291403.2100002025,479627.6177439424,150.0,2.0,2.582001197425535,285562.2807488775,1045895.4146805499,165.0,0.0,0.74839095943721,0.0,1021,17.0,65.0
99.5,9.91381581895046,9.95,1174987.2633833166,117502.95534571534,84.0,31295.37864583364,64.0,24194.416002517537,13.0,4268672.781764675,318496.2338633057,518002.07964094065,140.0,3.5,0.00448570367619755,366001.896101637,707118.286952784,130.0,4.5,339.7979903453398,369069.1272156016,1045895.4146805499,110.0,5.5,0.7001500185666544,195998.426338097,472133.9680659089,120.0,5.5,0.14361455625696248,305193.7793136048,479627.6177439424,150.0,2.0,2.6712216858522093,275249.9559295495,1045895.4146805499,165.0,0.0,0.7426661715558857,0.0,1025,17.0,65.0
99.5,9.814716495087014,9.95,1177200.6547270208,117726.21865664686,90.0,37979.6071279465,59.0,24910.370746869117,57.0,4268672.781764675,302407.867801878,518002.07964094065,140.0,3.5,0.004405936920222634,351877.0725232344,707118.286952784,130.0,4.5,336.46233469387755,354281.8609581503,1045895.4146805499,110.0,5.5,0.7313551020408164,196229.0844940702,472133.9680659089,120.0,5.5,0.18214248608534322,296156.3753245598,479627.6177439424,150.0,2.0,2.652578849721707,270577.23182037304,1045895.4146805499,165.0,0.0,0.7421150278293136,0.0,1029,17.0,65.0
99.5,9.890200344377213,9.95,1176313.7991056195,117635.8588768361,94.0,32008.565718747,68.0,21391.144038684888,1.0,4268672.781764675,290901.9549391794,518002.07964094065,140.0,3.5,0.00440306197556308,328195.66524474294,707118.286952784,130.0,4.5,329.92639997055795,331292.18747116544,1045895.4146805499,110.0,5.5,0.7254210216399235,197084.75469967743,472133.9680659089,120.0,5.5,0.2300139849845429,286505.4760879933,479627.6177439424,150.0,2.0,2.619726188723686,260789.4461642345,1045895.4146805499,165.0,0.0,0.7360518180479906,0.0,1033,17.0,65.0
