CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,1.1575029269544851E7,1157522.7607140501,549.0,655323.8203147693,278.0,261289.6929935072,543.0,4.0979670391976036E7,3086485.005787245,4834231.808306952,140.0,3.5,0.21556319115323855,3252315.528213463,6746579.400261982,130.0,4.5,5021.3347282780405,3252315.528213463,9768080.77645804,110.0,5.5,355.7859304897314,3178699.1122606453,4942708.093751736,120.0,5.5,0.15812875197472354,3149061.840242192,4919989.536739288,150.0,2.0,62.36935387045814,3134972.0209310856,9768080.77645804,165.0,0.0,0.7890726698262244,6.0,10000,16.0,64.0
105.8,10.0,10.58,1.1732307069202345E7,1173230.7069202326,555.0,700926.8554006543,250.0,279410.5509298411,597.0,4.0979670391976036E7,2913137.924384169,4834231.808306952,140.0,3.5,0.21244442698923888,3498302.1199724665,6746579.400261982,130.0,4.5,5293.888855549446,3499644.2541168104,9768080.77645804,110.0,5.5,377.09291964496117,3747421.756025135,4942708.093751736,120.0,5.5,0.17478124263608516,3433606.7651890977,4919989.536739288,150.0,2.0,66.2174990181447,3046664.1879558433,9768080.77645804,165.0,0.0,0.7872987196606709,6.0,10006,16.0,64.0
105.8,10.0,10.58,1.1919339300140046E7,1191880.0303674121,576.0,729100.3439001939,274.0,318447.15602504864,598.0,4.0979670391976036E7,2567041.390218913,4834231.808306952,140.0,3.5,0.20195554869578639,3853303.6724388013,6746579.400261982,130.0,4.5,5645.408106189227,3853303.6724388013,9768080.77645804,110.0,5.5,386.5087305139682,4389160.685991279,4942708.093751736,120.0,5.5,0.19194783145547156,3575219.755097661,4919989.536739288,150.0,2.0,69.31741240932243,2831350.477681918,9768080.77645804,165.0,0.0,0.7713196480938417,6.0,10012,16.0,64.0
105.8,10.02710001965637,10.58,1.2092702829405414E7,1209275.1774274479,576.0,777424.597172884,299.0,347975.29271344846,738.0,4.0979670391976036E7,2537071.8657302475,4834231.808306952,140.0,3.5,0.20369493094668623,3764211.219501068,6746579.400261982,130.0,4.5,5692.616460921226,3764211.219501068,9768080.77645804,110.0,5.5,370.82631818532525,4051810.9246456516,4942708.093751736,120.0,5.5,0.18735282771391099,3206877.9512900705,4919989.536739288,150.0,2.0,67.0459077231695,2736072.9759133477,9768080.77645804,165.0,0.0,0.7721703572255227,6.0,10019,16.0,64.0
105.8,10.02710001965637,10.58,1.2233120398511127E7,1223278.9839946947,622.0,877433.1850269019,318.0,386454.1544335153,1116.0,4.0979670391976036E7,2533921.080786417,4834231.808306952,140.0,3.5,0.2053415427509294,3727850.775993874,6746579.400261982,130.0,4.5,5783.30227850062,3727850.775993874,9768080.77645804,110.0,5.5,363.46577369888485,3447492.216826228,4942708.093751736,120.0,5.5,0.1769648389095415,3132576.9974242845,4919989.536739288,150.0,2.0,67.13289885377944,2658445.7895849943,9768080.77645804,165.0,0.0,0.7736377013630732,6.0,10025,16.0,64.0
105.8,10.02710001965637,10.58,1.2385465695621336E7,1238648.176541161,644.0,934873.4239337245,376.0,465674.0607512245,1721.0,4.0979670391976036E7,2327749.5803092965,4834231.808306952,140.0,3.5,0.19809841146842308,3490650.756804816,6746579.400261982,130.0,4.5,5697.574750096862,3490650.756804816,9768080.77645804,110.0,5.5,349.22819527314994,3013607.8085223064,4942708.093751736,120.0,5.5,0.16858969391708642,2734489.5902319197,4919989.536739288,150.0,2.0,64.05137698566448,2569594.7462486313,9768080.77645804,165.0,0.0,0.7759008136381248,6.0,10031,16.0,64.0
105.8,10.040918629270832,10.58,1.2578693668608313E7,1257979.4088774014,644.0,958895.6799930556,385.0,502178.7861803338,1882.0,4.0979670391976036E7,2332465.5174246053,4834231.808306952,140.0,3.5,0.19964591439688714,3463870.9933508714,6746579.400261982,130.0,4.5,5772.6068521400775,3464376.140633595,9768080.77645804,110.0,5.5,359.87392062256805,3127218.8972993945,4942708.093751736,120.0,5.5,0.17390739299610897,2788392.94571203,4919989.536739288,150.0,2.0,65.57548871595331,2500234.051802646,9768080.77645804,165.0,0.0,0.7791595330739299,6.0,10037,16.0,64.0
105.8,10.040918629270832,10.58,1.2738839724787652E7,1273928.7519696266,660.0,1011230.4301068732,379.0,479133.61143065843,2515.0,4.0979670391976036E7,2198850.940966436,4834231.808306952,140.0,3.5,0.19510597003338248,3342101.68826518,6746579.400261982,130.0,4.5,5756.315473177548,3341963.7803501375,9768080.77645804,110.0,5.5,356.6796017389954,2376167.161495045,4942708.093751736,120.0,5.5,0.1571399736045338,2580100.0231690337,4919989.536739288,150.0,2.0,64.61571228941852,2399052.269752579,9768080.77645804,165.0,0.0,0.7769816008073906,6.0,10043,16.0,64.0
105.8,10.040918629270832,10.58,1.2848445922685113E7,1284946.606608915,620.0,979989.1754883066,410.0,566744.9855005493,3105.0,4.0979670391976036E7,2096085.404623956,4834231.808306952,140.0,3.5,0.1891341453952983,3534811.2931635072,6746579.400261982,130.0,4.5,5986.895621072232,3534811.2931635072,9768080.77645804,110.0,5.5,350.01628210101643,2099959.4025390805,4942708.093751736,120.0,5.5,0.15174489875087283,2447311.6533024716,4919989.536739288,150.0,2.0,64.15004965474435,2325741.9808558743,9768080.77645804,165.0,0.0,0.7742400496547445,6.0,10050,16.0,64.0
105.8,10.055607831850216,10.58,1.2977280748027097E7,1297764.840446872,686.0,1075739.8862779606,417.0,595075.1481469343,3452.0,4.0979670391976036E7,2033054.933753611,4834231.808306952,140.0,3.5,0.1800870985302123,4136406.3575237156,6746579.400261982,130.0,4.5,6516.572172019597,4136406.3575237156,9768080.77645804,110.0,5.5,373.206319309433,2155108.965579302,4942708.093751736,120.0,5.5,0.15612800373279415,2798522.1335493843,4919989.536739288,150.0,2.0,68.94564429582394,2247835.7614868307,9768080.77645804,165.0,0.0,0.7717334162843145,6.0,10056,16.0,64.0
