CPI,BasketPrice,TargetPrice,BasketMinted,BasketTokensMinted,BuyerNums,BuyerQuants,SellerNums,SellerQuants,SuccessfulSaleCounts,DebtCeiling,LockedXRP,XRPDebtCeiling,XRPLR,XRPSF,XRPExchangeRate,LockedBTC,BTCDebtCeiling,BTCLR,BTCSF,BTCExchangeRate,LockedETH,ETHDebtCeiling,ETHLR,ETHSF,ETHExchangeRate,LockedLINK,LINKDebtCeiling,LINKLR,LINKSF,LINKExchangeRate,LockedLTC,LTCDebtCeiling,LTCLR,LTCSF,LTCExchangeRate,LockedUSDT,USDTDebtCeiling,USDTLR,USDTSF,USDTExchangeRate,BSR,UserBaseSize,KeeperHoldingPercentage,KeeperTradePercentage
100.0,10.0,10.0,5785697.505533431,578585.3133120879,272.0,165935.06190730043,132.0,132080.99132920234,108.0,2.0508366944583245E7,1603757.9251929747,2493049.7218265124,140.0,3.5,0.004433352906635349,1607842.5501309307,3355692.2249150192,130.0,4.5,316.14871403405755,1607842.5501309307,4933830.181205931,110.0,5.5,0.6853435114503817,1491553.2249999307,2309605.9713643473,120.0,5.5,0.13882266588373457,1588727.9710989613,2482358.6640655017,150.0,2.0,2.5539635936582497,1588896.7323090967,4933830.181205931,165.0,0.0,0.733998825601879,6.0,5000,16.0,64.0
99.5,10.0,9.95,5823124.573550322,582312.4573550328,306.0,200242.07084278885,157.0,165395.27005476685,130.0,2.0508366944583245E7,1519234.939939314,2493049.7218265124,140.0,3.5,0.004411612234318299,1608808.602523623,3355692.2249150192,130.0,4.5,321.87070206620746,1611677.7078680184,4933830.181205931,110.0,5.5,0.7016226023846552,1180228.6718348584,2309605.9713643473,120.0,5.5,0.12576908835073686,1602067.191215628,2482358.6640655017,150.0,2.0,2.603332592757165,1555558.5520866758,4933830.181205931,165.0,0.0,0.7405761682589054,6.0,5006,16.0,64.0
99.5,10.0,9.95,5866845.857072276,586688.8976278353,287.0,197769.77591288596,158.0,169403.76144230022,315.0,2.0508366944583245E7,1520365.9803615056,2493049.7218265124,140.0,3.5,0.0045100371747211895,1535841.4099517912,3355692.2249150192,130.0,4.5,322.3628275092937,1540031.1833256385,4933830.181205931,110.0,5.5,0.6977174721189591,963449.9917436835,2309605.9713643473,120.0,5.5,0.11119851301115243,1547311.7843951997,2482358.6640655017,150.0,2.0,2.605204460966543,1517996.7385353458,4933830.181205931,165.0,0.0,0.7434944237918216,6.0,5012,16.0,64.0
99.5,10.040979002604734,9.95,5908667.115190866,590913.0935870243,319.0,220638.44404710934,168.0,184047.98882993276,448.0,2.0508366944583245E7,1397165.1488613314,2493049.7218265124,140.0,3.5,0.00444337811900192,1406155.6380019712,3355692.2249150192,130.0,4.5,317.4819171711206,1406155.6380019712,4933830.181205931,110.0,5.5,0.7175882179241104,909190.4176643154,2309605.9713643473,120.0,5.5,0.09678871991731877,1440865.415226188,2482358.6640655017,150.0,2.0,2.56835966336926,1434478.1651208424,4933830.181205931,165.0,0.0,0.7382253063635021,6.0,5017,16.0,64.0
99.5,10.040979002604734,9.95,5949489.837923736,594978.705388651,295.0,201080.94733257996,194.0,214035.4870928312,633.0,2.0508366944583245E7,1320729.2834123317,2493049.7218265124,140.0,3.5,0.004391827100390942,1349735.9095202505,3355692.2249150192,130.0,4.5,319.4430921295272,1349735.9095202505,4933830.181205931,110.0,5.5,0.7030663126060338,935371.4965641617,2309605.9713643473,120.0,5.5,0.12586560448476802,1402023.0738472815,2482358.6640655017,150.0,2.0,2.575791104226599,1380406.0069451213,4933830.181205931,165.0,0.0,0.7376263185070444,6.0,5022,16.0,64.0
99.5,10.040979002604734,9.95,5987844.69417245,598823.3111319966,289.0,210973.54491122693,168.0,174668.34229600566,745.0,2.0508366944583245E7,1309641.6471516301,2493049.7218265124,140.0,3.5,0.004478363959691761,1292401.2191757902,3355692.2249150192,130.0,4.5,319.9881357439241,1293893.655023782,4933830.181205931,110.0,5.5,0.7039330171902787,945728.6565087222,2309605.9713643473,120.0,5.5,0.134883669235329,1316293.063783841,2482358.6640655017,150.0,2.0,2.5689537640782456,1315828.1365574955,4933830.181205931,165.0,0.0,0.7411455245998816,6.0,5027,16.0,64.0
99.5,10.004381593720149,9.95,6025350.907221389,602561.423756401,318.0,253140.49167469845,179.0,210296.75606247052,989.0,2.0508366944583245E7,1274670.5981192202,2493049.7218265124,140.0,3.5,0.004488848974704386,1264373.5048688874,3355692.2249150192,130.0,4.5,321.8163343810807,1263590.8029665793,4933830.181205931,110.0,5.5,0.7153128274210447,964099.1874970348,2309605.9713643473,120.0,5.5,0.14573941026792397,1288498.7276096924,2482358.6640655017,150.0,2.0,2.582001197425535,1297486.6767912495,4933830.181205931,165.0,0.0,0.74839095943721,6.0,5033,16.0,64.0
99.5,10.004381593720149,9.95,6067443.978133456,606768.8873080198,315.0,248268.11662626968,234.0,277883.905398622,1257.0,2.0508366944583245E7,1236981.5545810938,2493049.7218265124,140.0,3.5,0.00448570367619755,1390154.3938628184,3355692.2249150192,130.0,4.5,339.7979903453398,1393155.4129273451,4933830.181205931,110.0,5.5,0.7001500185666544,965303.351938092,2309605.9713643473,120.0,5.5,0.14361455625696248,1345813.331017097,2482358.6640655017,150.0,2.0,2.6712216858522093,1225252.0697547724,4933830.181205931,165.0,0.0,0.7426661715558857,6.0,5038,16.0,64.0
99.5,10.004381593720149,9.95,6106523.830502914,610660.6655412698,337.0,267129.82193439006,238.0,268413.1473751018,1257.0,2.0508366944583245E7,1135212.7054259768,2493049.7218265124,140.0,3.5,0.004405936920222634,1307597.4122473258,3355692.2249150192,130.0,4.5,336.46233469387755,1307597.4122473258,4933830.181205931,110.0,5.5,0.7313551020408164,986151.7971113824,2309605.9713643473,120.0,5.5,0.18214248608534322,1267484.3946798674,2482358.6640655017,150.0,2.0,2.652578849721707,1172348.1854141846,4933830.181205931,165.0,0.0,0.7421150278293136,6.0,5043,16.0,64.0
99.5,10.044825279632281,9.95,6147846.605813019,614774.5026822591,360.0,290397.78280452924,239.0,296143.7950854406,1562.0,2.0508366944583245E7,1082784.2309272026,2493049.7218265124,140.0,3.5,0.00440306197556308,1192255.673994285,3355692.2249150192,130.0,4.5,329.92639997055795,1192255.673994285,4933830.181205931,110.0,5.5,0.7254210216399235,1018246.0891305113,2309605.9713643473,120.0,5.5,0.2300139849845429,1192229.6884850184,2482358.6640655017,150.0,2.0,2.619726188723686,1109183.9399495472,4933830.181205931,165.0,0.0,0.7360518180479906,6.0,5049,16.0,64.0
